time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-12T09:32:26.520Z,12.2926,-72.9907,7.37,5.2,mww,,23,1.142,1.15,us,us20008jbe,2017-05-13T01:03:17.040Z,"82km NW of Manaure, Colombia",earthquake,6.3,3.3,0.083,14,reviewed,us,us
2017-02-12T04:01:33.990Z,-56.3841,-27.0582,74.15,5.1,mb,,68,16.453,0.87,us,us20008j9s,2017-05-13T01:03:17.040Z,"36km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.6,5.7,0.068,69,reviewed,us,us
2017-02-12T03:47:40.170Z,49.3075,-129.3552,10,5,mwr,,164,1.55,1.35,us,us20008j9n,2017-05-13T01:03:17.040Z,"207km SW of Port Hardy, Canada",earthquake,5.5,1.9,,,reviewed,us,pgc
2017-02-11T22:53:19.820Z,-3.6026,151.2189,10,5.1,mb,,75,1.066,0.67,us,us20008j8m,2017-05-09T01:24:34.040Z,"122km SSE of Kavieng, Papua New Guinea",earthquake,6.7,1.6,0.068,70,reviewed,us,us
2017-02-11T11:15:57.370Z,-23.7544,-179.9039,496.96,5,mb,,44,5.747,1.06,us,us20008j60,2017-05-09T01:24:34.040Z,"South of the Fiji Islands",earthquake,10.4,6.3,0.073,60,reviewed,us,us
2017-02-11T07:33:13.130Z,-5.6863,153.6297,37.01,5,mb,,69,2.083,0.96,us,us20008j59,2017-05-09T01:24:34.040Z,"150km SSE of Taron, Papua New Guinea",earthquake,8.6,7.4,0.071,62,reviewed,us,us
2017-02-11T04:27:59.940Z,-57.0938,-150.6143,10,5.4,mb,,37,25.318,1.02,us,us20008j4i,2017-05-09T01:24:34.040Z,"Pacific-Antarctic Ridge",earthquake,11.6,1.7,0.056,108,reviewed,us,us
2017-02-10T21:05:26.550Z,37.2748,141.7038,6.78,5.2,mww,,60,0.937,0.6,us,us20008j1z,2017-05-09T01:24:33.040Z,"66km ESE of Namie, Japan",earthquake,4.5,2,,,reviewed,us,us
2017-02-10T19:10:17.660Z,-6.1562,149.7937,71,5.1,mb,,62,2.884,0.84,us,us20008j1h,2017-05-09T01:24:33.040Z,"27km ENE of Kandrian, Papua New Guinea",earthquake,9.2,7.5,0.07,70,reviewed,us,us
2017-02-10T18:28:02.970Z,-0.185,123.0199,81.13,5,mww,,20,0.886,0.86,us,us20008j12,2017-05-09T01:24:33.040Z,"66km SSW of Bilungala, Indonesia",earthquake,5.6,4.6,,,reviewed,us,us
2017-02-10T17:12:53.400Z,22.8269,120.2197,15.76,5.3,mww,,30,0.603,0.71,us,us20008izc,2017-05-09T01:24:33.040Z,"18km S of Tainan, Taiwan",earthquake,6.3,3.2,,,reviewed,us,us
2017-02-10T16:43:38.030Z,-17.9075,35.6117,10,5.1,mb,,55,10.06,1.15,us,us20008iz7,2017-05-09T01:24:33.040Z,"115km SSE of Nsanje, Malawi",earthquake,10.3,1.8,0.057,101,reviewed,us,us
2017-02-10T15:01:49.600Z,74.3009,-92.3386,15.68,5.2,mb,,24,0.791,1.17,us,us20008ixg,2017-05-09T01:24:33.040Z,"86km ESE of Resolute, Canada",earthquake,5.1,4.4,0.028,430,reviewed,us,us
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,,36,2.822,0.95,us,us20008ixa,2017-05-25T15:03:39.578Z,"10km N of Mabua, Philippines",earthquake,5.2,1.7,,,reviewed,us,us
2017-02-10T07:18:21.250Z,-21.2456,-175.2067,10,5.3,mb,,92,5.408,0.66,us,us20008iul,2017-05-09T01:24:32.040Z,"5km S of Vaini, Tonga",earthquake,9.3,1.9,0.061,89,reviewed,us,us
2017-02-10T02:58:55.360Z,-17.8301,-12.9038,10,5.3,mb,,44,25.609,0.81,us,us20008iu2,2017-05-09T01:24:32.040Z,"Southern Mid-Atlantic Ridge",earthquake,9.3,1.7,0.055,111,reviewed,us,us
2017-02-09T19:10:10.670Z,-56.9812,-150.743,10,5.2,mb,,41,27.91,1.01,us,us20008is3,2017-05-09T01:24:32.040Z,"Pacific-Antarctic Ridge",earthquake,14.2,1.8,0.073,62,reviewed,us,us
2017-02-09T08:31:42.170Z,-16.5317,67.7469,10,5,mb,,55,5.253,0.88,us,us20008in7,2017-05-09T01:24:31.040Z,"Mid-Indian Ridge",earthquake,9.2,1.8,0.069,67,reviewed,us,us
2017-02-09T02:21:49.640Z,-2.2527,140.8935,17.62,5.3,mb,,22,8.661,0.87,us,us20008im7,2017-05-09T01:24:31.040Z,"37km NE of Jayapura, Indonesia",earthquake,7.6,3.3,0.057,103,reviewed,us,us
2017-02-08T13:44:32.010Z,-41.6932,-83.8123,10,5.2,mww,,153,7.644,0.92,us,us20008ihq,2017-05-09T01:24:31.040Z,"West Chile Rise",earthquake,9.4,1.8,0.066,22,reviewed,us,us
2017-02-08T11:02:37.540Z,25.1444,63.3102,10,5.2,mb,,66,4.675,0.8,us,us20008ig4,2017-05-09T01:24:31.040Z,"20km SW of Pasni, Pakistan",earthquake,7,1.7,0.045,164,reviewed,us,us
2017-02-08T08:34:18.360Z,-7.5557,106.9498,74.88,5,mb,,64,0.982,1.32,us,us20008iff,2017-05-09T01:24:30.040Z,"15km SSW of Sukadami, Indonesia",earthquake,6.9,5.3,0.071,63,reviewed,us,us
2017-02-08T00:06:44.120Z,-18.0655,-178.4127,623.85,5.1,mb,,37,3.38,0.97,us,us20008id1,2017-05-09T01:24:30.040Z,"287km N of Ndoi Island, Fiji",earthquake,10.3,6,0.03,364,reviewed,us,us
2017-02-07T22:03:56.390Z,25.1912,63.2644,29.07,6.3,mww,,28,4.655,0.76,us,us20008ic7,2017-05-09T01:24:30.040Z,"22km WSW of Pasni, Pakistan",earthquake,7.5,3.3,,,reviewed,us,us
2017-02-07T17:21:47.160Z,-8.4287,113.1306,140.72,5.2,mb,,49,1.011,1.2,us,us20008i9k,2017-05-09T01:24:30.040Z,"20km S of Krajan Dua, Indonesia",earthquake,6.6,4.8,0.056,106,reviewed,us,us
2017-02-07T14:26:38.670Z,-56.4108,-25.8731,10,5.1,mb,,70,18.116,0.64,us,us20008i84,2017-05-09T01:24:29.040Z,"87km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.3,1.6,0.071,65,reviewed,us,us
2017-02-07T12:23:23.040Z,-21.8223,-179.3891,581.31,5,mb,,24,4.717,1.06,us,us20008i6g,2017-05-09T01:24:29.040Z,"148km SSW of Ndoi Island, Fiji",earthquake,9.6,5.6,0.036,250,reviewed,us,us
2017-02-07T02:24:04.150Z,39.5279,26.0993,8.38,5.3,mww,,33,1.366,0.62,us,us20008i2k,2017-05-09T01:24:29.040Z,"18km NNW of Mithymna, Greece",earthquake,4.4,3.5,0.046,46,reviewed,us,us
2017-02-06T22:46:30.210Z,-19.0041,176.2745,10,5.1,mb,,114,2.102,0.76,us,us20008i1l,2017-05-09T01:24:29.040Z,"179km SW of Nadi, Fiji",earthquake,9.4,1.8,0.087,43,reviewed,us,us
2017-02-06T18:23:22.990Z,-56.9594,-150.6163,10,5.3,mwb,,40,25.445,1.18,us,us20008hyt,2017-05-09T01:24:29.040Z,"Pacific-Antarctic Ridge",earthquake,12.4,1.7,0.103,9,reviewed,us,us
2017-02-06T17:03:06.530Z,30.6544,79.1645,16.05,5.1,mwb,,39,5.823,0.67,us,us20008hyg,2017-12-06T15:40:08.387Z,"36km NW of Pipalkoti, India",earthquake,7.9,3.2,0.059,28,reviewed,us,us
2017-02-06T15:43:08.200Z,-37.391,178.5548,38.79,5,mb,,172,0.261,0.8,us,us20008hya,2017-05-09T01:24:28.040Z,"135km NE of Opotiki, New Zealand",earthquake,13.4,6.6,0.126,20,reviewed,us,us
2017-02-06T13:23:55.140Z,-56.9535,-150.4258,10,5.2,mb,,53,33.193,0.73,us,us20008ki4,2017-05-09T01:24:28.040Z,"Pacific-Antarctic Ridge",earthquake,15.5,1.8,0.106,29,reviewed,us,us
2017-02-06T13:02:45.140Z,3.4493,-74.6715,37.95,5.5,mww,,47,1.429,1.04,us,us20008hx7,2017-05-09T01:24:28.040Z,"16km ENE of Colombia, Colombia",earthquake,6.3,3.3,0.044,49,reviewed,us,us
2017-02-06T11:58:06.700Z,33.6378,142.4697,16.87,5,mb,,110,2.282,0.65,us,us20008hwy,2017-05-09T01:24:28.040Z,"255km ENE of Hachijo-jima, Japan",earthquake,8,3.9,0.055,108,reviewed,us,us
